Country,ISO3c,Category,Origin,Destination,Organism,System,Product,Pressure,Value
Afghanistan,AFG,farm,marine,marine,marine-fish-general,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,marine-fish-general,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,marine-fish-general,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,marine-fish-general,aquaculture,meat,water,0
Afghanistan,AFG,farm,marine,marine,salmon,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,salmon,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,salmon,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,salmon,aquaculture,meat,water,0
Afghanistan,AFG,farm,marine,marine,shrimp,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,shrimp,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,shrimp,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,shrimp,aquaculture,meat,water,0
Afghanistan,AFG,farm,marine,marine,tuna,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,tuna,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,tuna,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,tuna,aquaculture,meat,water,0
Afghanistan,AFG,feedcrop,land,land,buffaloes,grassland,milk,disturbance,0.095661869
Afghanistan,AFG,feedcrop,land,land,buffaloes,grassland,milk,ghg,10.23683831
Afghanistan,AFG,feedcrop,land,land,buffaloes,grassland,milk,nutrient,0.164578049
Afghanistan,AFG,feedcrop,land,land,buffaloes,grassland,milk,water,39203.13802
Afghanistan,AFG,feedcrop,land,land,buffaloes,mixed,milk,disturbance,8.820760999
Afghanistan,AFG,feedcrop,land,land,buffaloes,mixed,milk,ghg,942.9066705
Afghanistan,AFG,feedcrop,land,land,buffaloes,mixed,milk,nutrient,15.1471355
Afghanistan,AFG,feedcrop,land,land,buffaloes,mixed,milk,water,3614650.266
Afghanistan,AFG,feedcrop,land,land,chickens,backyard,eggs&meat,disturbance,471.0805346
Afghanistan,AFG,feedcrop,land,land,chickens,backyard,eggs&meat,ghg,33006.58258
Afghanistan,AFG,feedcrop,land,land,chickens,backyard,eggs&meat,nutrient,493.5598586
Afghanistan,AFG,feedcrop,land,land,chickens,backyard,eggs&meat,water,99415304.39
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,eggs,disturbance,67.79960928
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,eggs,ghg,6048.134488
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,eggs,nutrient,125.2708257
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,eggs,water,21489663.8
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,meat,disturbance,96.40469084
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,meat,ghg,8166.740891
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,meat,nutrient,174.5826285
Afghanistan,AFG,feedcrop,land,land,chickens,industrial,meat,water,36009941.4
Afghanistan,AFG,feedcrop,land,land,cows,feedlot,meat,disturbance,0.121556055
Afghanistan,AFG,feedcrop,land,land,cows,feedlot,meat,ghg,11.24544828
Afghanistan,AFG,feedcrop,land,land,cows,feedlot,meat,nutrient,0.25232963
Afghanistan,AFG,feedcrop,land,land,cows,feedlot,meat,water,56606.08645
Afghanistan,AFG,feedcrop,land,land,cows,grassland,meat,disturbance,9.341564981
Afghanistan,AFG,feedcrop,land,land,cows,grassland,meat,ghg,1065.367928
Afghanistan,AFG,feedcrop,land,land,cows,grassland,meat,nutrient,19.00810274
Afghanistan,AFG,feedcrop,land,land,cows,grassland,meat,water,3649918.157
Afghanistan,AFG,feedcrop,land,land,cows,grassland,milk,disturbance,22.41863025
Afghanistan,AFG,feedcrop,land,land,cows,grassland,milk,ghg,2567.512181
Afghanistan,AFG,feedcrop,land,land,cows,grassland,milk,nutrient,45.98222733
Afghanistan,AFG,feedcrop,land,land,cows,grassland,milk,water,8749828.842
Afghanistan,AFG,feedcrop,land,land,cows,mixed,meat,disturbance,33.90403158
Afghanistan,AFG,feedcrop,land,land,cows,mixed,meat,ghg,3784.612093
Afghanistan,AFG,feedcrop,land,land,cows,mixed,meat,nutrient,66.66541711
Afghanistan,AFG,feedcrop,land,land,cows,mixed,meat,water,13555661.5
Afghanistan,AFG,feedcrop,land,land,cows,mixed,milk,disturbance,99.25241602
Afghanistan,AFG,feedcrop,land,land,cows,mixed,milk,ghg,11312.9823
Afghanistan,AFG,feedcrop,land,land,cows,mixed,milk,nutrient,201.7085202
Afghanistan,AFG,feedcrop,land,land,cows,mixed,milk,water,38919475.32
Afghanistan,AFG,feedcrop,land,land,goats,grassland,meat,disturbance,10.87372818
Afghanistan,AFG,feedcrop,land,land,goats,grassland,meat,ghg,1247.607433
Afghanistan,AFG,feedcrop,land,land,goats,grassland,meat,nutrient,22.33806554
Afghanistan,AFG,feedcrop,land,land,goats,grassland,meat,water,4236087.424
Afghanistan,AFG,feedcrop,land,land,goats,grassland,milk,disturbance,9.94229116
Afghanistan,AFG,feedcrop,land,land,goats,grassland,milk,ghg,1140.943133
Afghanistan,AFG,feedcrop,land,land,goats,grassland,milk,nutrient,20.43139426
Afghanistan,AFG,feedcrop,land,land,goats,grassland,milk,water,3872592.183
Afghanistan,AFG,feedcrop,land,land,goats,mixed,meat,disturbance,15.51356162
Afghanistan,AFG,feedcrop,land,land,goats,mixed,meat,ghg,1775.896962
Afghanistan,AFG,feedcrop,land,land,goats,mixed,meat,nutrient,31.69895913
Afghanistan,AFG,feedcrop,land,land,goats,mixed,meat,water,6054543.574
Afghanistan,AFG,feedcrop,land,land,goats,mixed,milk,disturbance,13.90142391
Afghanistan,AFG,feedcrop,land,land,goats,mixed,milk,ghg,1594.284442
Afghanistan,AFG,feedcrop,land,land,goats,mixed,milk,nutrient,28.52494544
Afghanistan,AFG,feedcrop,land,land,goats,mixed,milk,water,5417300.599
Afghanistan,AFG,feedcrop,land,land,pigs,backyard,meat,disturbance,29.8537376
Afghanistan,AFG,feedcrop,land,land,pigs,backyard,meat,ghg,2172.567974
Afghanistan,AFG,feedcrop,land,land,pigs,backyard,meat,nutrient,39.19199456
Afghanistan,AFG,feedcrop,land,land,pigs,backyard,meat,water,4284119.128
Afghanistan,AFG,feedcrop,land,land,pigs,industrial,meat,disturbance,37.74889089
Afghanistan,AFG,feedcrop,land,land,pigs,industrial,meat,ghg,3231.818108
Afghanistan,AFG,feedcrop,land,land,pigs,industrial,meat,nutrient,45.7694854
Afghanistan,AFG,feedcrop,land,land,pigs,industrial,meat,water,6666045.554
Afghanistan,AFG,feedcrop,land,land,pigs,intermediate,meat,disturbance,16.57223427
Afghanistan,AFG,feedcrop,land,land,pigs,intermediate,meat,ghg,1121.022845
Afghanistan,AFG,feedcrop,land,land,pigs,intermediate,meat,nutrient,20.5549848
Afghanistan,AFG,feedcrop,land,land,pigs,intermediate,meat,water,2020504.553
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,meat,disturbance,10.9346557
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,meat,ghg,1252.983676
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,meat,nutrient,22.40399755
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,meat,water,4264459.789
